Activity database;Activity code;Activity name;Activity unit;Activity type;OPENLCA names;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange loc;Exchange scale;Exchange negative;Ecospold_code_OPENLCA
CCU;Production [H2_from_PEM];Production [H2_from_PEM];kilogram;process;;CCU;Production [H2_from_PEM];1;kilogram;production;;;;;
CCU;Production [H2_from_PEM];Production [H2_from_PEM];kilogram;process;market for electricity, high voltage | electricity, high voltage | Consequential, U - DE;ecoinvent 3.4 conseq;30e6266f159ecafc6dddd4ee57f0606c;54.6;kilowatt hour;technosphere;2;4.000033883;0.000001;FALSE;
CCU;Production [H2_from_PEM];Production [H2_from_PEM];kilogram;process;market for oxygen, liquid | oxygen, liquid | Consequential, U - RER;ecoinvent 3.4 conseq;985b303096844d37fc434c33c910f374;-8;kilogram;technosphere;2;2.079441542;0.000001;TRUE;
CCU;Production [H2_from_PEM];Production [H2_from_PEM];kilogram;process;market for water, ultrapure | water, ultrapure | Consequential, U - GLO;ecoinvent 3.4 conseq;a4ba1e68fcbf8f0456104e3e293e4375;9.1;kilogram;technosphere;2;2.208274414;0.000001;FALSE;
CCU;Marginal_mix_CO2_long_term [CO2];Marginal_mix_CO2_long_term [CO2];kilogram;process;;CCU;Marginal_mix_CO2_long_term [CO2];1;kilogram;production;;;;;
CCU;Marginal_mix_CO2_long_term [CO2];Marginal_mix_CO2_long_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_ammonia];0.0039;kilogram;technosphere;2;-5.546778726;0.000001;FALSE;
CCU;Marginal_mix_CO2_long_term [CO2];Marginal_mix_CO2_long_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_iron];0.2439;kilogram;technosphere;2;-1.410996974;0.000001;FALSE;
CCU;Marginal_mix_CO2_long_term [CO2];Marginal_mix_CO2_long_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_Ethylene];0.1141;kilogram;technosphere;2;-2.170680022;0.000001;FALSE;
CCU;Marginal_mix_CO2_long_term [CO2];Marginal_mix_CO2_long_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_cement];0.638;kilogram;technosphere;2;-0.449416996;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;;CCU;Capturing [CO2_from_ammonia];1;kilogram;production;;;;;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for electricity, high voltage | electricity, high voltage | Consequential, U - DE;ecoinvent 3.4 conseq;30e6266f159ecafc6dddd4ee57f0606c;0.108863889;kilowatt hour;technosphere;2;-2.217656903;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for compressed air, 600 kPa gauge | compressed air, 600 kPa gauge | Consequential, U - GLO;ecoinvent 3.4 conseq;db75023476ddc4e5817756e318df59ab;0.00716164;cubic meter;technosphere;2;-4.93901633;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for natural gas, high pressure | natural gas, high pressure | Consequential, U - DE;ecoinvent 3.4 conseq;d156f88bb4654c2834691b261bada299;0.008119048;cubic meter;technosphere;2;-4.81354242;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for steam, in chemical industry | steam, in chemical industry | Consequential, U - GLO;ecoinvent 3.4 conseq;e9243150c886442b26b88cddd55a8311;0.11528;kilogram;technosphere;2;-2.160391327;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for water, decarbonised, at user | water, decarbonised, at user | Consequential, U - GLO;ecoinvent 3.4 conseq;6a3eca9d84047af8d2343e0a111d37fd;0.62123;kilogram;technosphere;2;-0.476053895;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for zeolite, powder | zeolite, powder | Consequential, U - GLO;ecoinvent 3.4 conseq;47314aca63b74124b4408f5f792bce4b;0.00002;kilogram;technosphere;2;-10.81977828;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for heat, from steam, in chemical industry | heat, from steam, in chemical industry | Consequential, U - RER;ecoinvent 3.4 conseq;6171b5f5caedd5e3fa325adbaf8d33c8;0.464;megajoule;technosphere;2;-0.767870727;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;Carbon dioxide, fossil;biosphere3;349b29d1-3e58-4c66-98b9-9d1a076efd2e;-1;kilogram;biosphere;2;0;0.000001;TRUE;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;;CCU;Capturing [CO2_from_iron];1;kilogram;production;;;;;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;market for electricity, high voltage | electricity, high voltage | Consequential, U - DE;ecoinvent 3.4 conseq;30e6266f159ecafc6dddd4ee57f0606c;0.086111111;kilowatt hour;technosphere;2;-2.452116827;0.000001;FALSE;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Consequential, U - Europe without Switzerland;ecoinvent 3.4 conseq;a55838045a90141ff1c8cc80d64148eb;3.37;megajoule;technosphere;2;1.214912744;0.000001;FALSE;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;market for activated carbon, granular | activated carbon, granular | Consequential, U - GLO;ecoinvent 3.4 conseq;f27ef178e4b4f4af9c8ae6528d4624cc;0.00006;kilogram;technosphere;2;-9.721165996;1.000001;FALSE;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;market for monoethanolamine | monoethanolamine | Consequential, U - GLO;ecoinvent 3.4 conseq;20090b236b4a29dc58dae1805f32ff45;0.0015;kilogram;technosphere;2;-6.502290171;2.000001;FALSE;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Consequential, U - GLO;ecoinvent 3.4 conseq;b46ce417b0eacac1feafefae26f8e9bf;0.00013;kilogram;technosphere;2;-8.947976108;3.000001;FALSE;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;market for water, decarbonised, at user | water, decarbonised, at user | Consequential, U - GLO;ecoinvent 3.4 conseq;6a3eca9d84047af8d2343e0a111d37fd;0.8;kilogram;technosphere;2;-0.223143551;0.000001;FALSE;
CCU;Capturing [CO2_from_iron];Capturing [CO2_from_iron];kilogram;process;Carbon dioxide, fossil;biosphere3;349b29d1-3e58-4c66-98b9-9d1a076efd2e;-1;kilogram;biosphere;2;0;0.000001;TRUE;
CCU;Capturing [CO2_from_Ethylene];Capturing [CO2_from_Ethylene];kilogram;process;;CCU;Capturing [CO2_from_Ethylene];1;kilogram;production;;;;;
CCU;Capturing [CO2_from_Ethylene];Capturing [CO2_from_Ethylene];kilogram;process;market for electricity, high voltage | electricity, high voltage | Consequential, U - DE;ecoinvent 3.4 conseq;30e6266f159ecafc6dddd4ee57f0606c;0.121;kilowatt hour;technosphere;2;-2.111964733;0.000001;FALSE;
CCU;Capturing [CO2_from_Ethylene];Capturing [CO2_from_Ethylene];kilogram;process;market for steam, in chemical industry | steam, in chemical industry | Consequential, U - GLO;ecoinvent 3.4 conseq;e9243150c886442b26b88cddd55a8311;1.875;megajoule;technosphere;2;0.628608659;0.000001;FALSE;
CCU;Capturing [CO2_from_Ethylene];Capturing [CO2_from_Ethylene];kilogram;process;Carbon dioxide, fossil;biosphere3;349b29d1-3e58-4c66-98b9-9d1a076efd2e;-1;kilogram;biosphere;2;0;0.000001;TRUE;
CCU;Capturing [CO2_from_cement];Capturing [CO2_from_cement];kilogram;process;;CCU;Capturing [CO2_from_cement];1;kilogram;production;;;;;
CCU;Capturing [CO2_from_cement];Capturing [CO2_from_cement];kilogram;process;market for electricity, high voltage | electricity, high voltage | Consequential, U - DE;ecoinvent 3.4 conseq;30e6266f159ecafc6dddd4ee57f0606c;0.13258;kilowatt hour;technosphere;2;-2.020569042;0.000001;FALSE;
CCU;Capturing [CO2_from_cement];Capturing [CO2_from_cement];kilogram;process;market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Consequential, U - Europe without Switzerland;ecoinvent 3.4 conseq;a55838045a90141ff1c8cc80d64148eb;4.26136;megajoule;technosphere;2;1.449588358;0.000001;FALSE;
CCU;Capturing [CO2_from_cement];Capturing [CO2_from_cement];kilogram;process;market for monoethanolamine | monoethanolamine | Consequential, U - GLO;ecoinvent 3.4 conseq;20090b236b4a29dc58dae1805f32ff45;0.005;kilogram;technosphere;2;-5.298317367;2.000001;FALSE;
CCU;Capturing [CO2_from_cement];Capturing [CO2_from_cement];kilogram;process;market for ammonia, liquid | ammonia, liquid | Consequential, U - RER;ecoinvent 3.4 conseq;f39a807ceb19aeeb97f8d2ad3ba537bd;0.00386;kilogram;technosphere;2;-5.557088096;0.000001;FALSE;
CCU;Capturing [CO2_from_cement];Capturing [CO2_from_cement];kilogram;process;market for limestone, crushed, for mill | limestone, crushed, for mill | Consequential, U - RoW;ecoinvent 3.4 conseq;c003e7fc3c8d600dd87dfeebf97ce0b1;0.0267;kilogram;technosphere;2;-3.623091714;0.000001;FALSE;
CCU;Capturing [CO2_from_cement];Capturing [CO2_from_cement];kilogram;process;Carbon dioxide, fossil;biosphere3;349b29d1-3e58-4c66-98b9-9d1a076efd2e;-1;kilogram;biosphere;2;0;0.000001;TRUE;
CCU;Production [DMC_Catalyst];Production [DMC_Catalyst];kilogram;process;;CCU;Production [DMC_Catalyst];1;kilogram;production;;;;;
CCU;Production [DMC_Catalyst];Production [DMC_Catalyst];kilogram;process;potassium chloride production | potassium chloride, as K2O | Consequential, U - RER;ecoinvent 3.4 conseq;92f878f8d5dabb5657a81710f9218e67;0.161;kilogram;technosphere;2;-1.826350914;0.000001;FALSE;
CCU;Production [DMC_Catalyst];Production [DMC_Catalyst];kilogram;process;market for cobalt | cobalt | Consequential, U - GLO;ecoinvent 3.4 conseq;3a1818c7cecdb445123fdc1c1c0bba61;0.81;kilogram;technosphere;2;-0.210721031;0.000001;FALSE;
CCU;Production [DMC_Catalyst];Production [DMC_Catalyst];kilogram;process;market for hydrogen cyanide | hydrogen cyanide | Consequential, U - GLO;ecoinvent 3.4 conseq;f4058d4de8a1be53752873ba89b3206c;0.02;kilogram;technosphere;2;-3.912023005;0.000001;FALSE;
