Activity database;Activity code;Activity name;Activity unit;Activity type;OPENLCA names;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange loc;Exchange scale;Exchange negative;Ecospold_code_OPENLCA
CCU;Marginal_mix_CO2_near_term [CO2];Marginal_mix_CO2_near_term [CO2];kilogram;process;;CCU;Marginal_mix_CO2_near_term [CO2];1;kilogram;production;;;;;
CCU;Marginal_mix_CO2_near_term [CO2];Marginal_mix_CO2_near_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_ammonia];0.48;kilogram;technosphere;2;-0.733969175;0.000001;FALSE;
CCU;Marginal_mix_CO2_near_term [CO2];Marginal_mix_CO2_near_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_bioenergy];0.264;kilogram;technosphere;2;-1.331806176;0.000001;FALSE;
CCU;Marginal_mix_CO2_near_term [CO2];Marginal_mix_CO2_near_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_H2];0.184;kilogram;technosphere;2;-1.692819521;0.000001;FALSE;
CCU;Marginal_mix_CO2_near_term [CO2];Marginal_mix_CO2_near_term [CO2];kilogram;process;;CCU;Capturing [CO2_from_fermentation];0.072;kilogram;technosphere;2;-2.63108916;0.000001;FALSE;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;;CCU;Capturing [CO2_from_ammonia];1;kilogram;production;;;;;
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for electricity, high voltage | electricity, high voltage | Consequential, U - DE;ecoinvent 3.4 conseq;30e6266f159ecafc6dddd4ee57f0606c;0.10886;kilowatt hour;technosphere;2;-2.217656903;0.000001;FALSE;6ec096f8-cfda-3f30-b6f3-c012c32e6217
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for compressed air, 600 kPa gauge | compressed air, 600 kPa gauge | Consequential, U - GLO;ecoinvent 3.4 conseq;db75023476ddc4e5817756e318df59ab;0.00716;cubic meter;technosphere;2;-4.93901633;0.000001;FALSE;c27b8cf8-380f-3930-9b94-d8df79083ba7
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for natural gas, high pressure | natural gas, high pressure | Consequential, U - DE;ecoinvent 3.4 conseq;d156f88bb4654c2834691b261bada299; 0.00812 ;cubic meter;technosphere;2;-4.81354242;0.000001;FALSE;147fe7d9-a04f-38d3-8266-296008c8c044
CCU;Capturing [CO2_from_ammonia];Capturing [CO2_from_ammonia];kilogram;process;market for steam, in chemical industry | steam, in chemical industry | Consequential, U - GLO;ecoinvent 3.4 conseq;e9243150c886442b26b88cddd55a8311;0.11528;kilogram;technosphere;2;-2.160391327;0.000001;FALSE;4e27ced7-97fc-3370-b1ae-e49457773f5d
